protein,calories,diet_type,dietary_restrictions,allergy_note,goal,session_minutes,fitness_level,activity_level,current_weight,target_calories,weeks,avg_daily_steps,bmi,resting_heart_rate,weekly_workouts,diet_quality,meal_recommendation,workout_recommendation,fitness_level_class,predicted_weight,workout_exercises,meal_highlights,fitness_guidance
52.04,763.28,veg,none,,maintenance,84,beginner,low,68.52,3092.49,6,8349.84,20.45,87.58,0,average,Veggie Brown Rice Plate,Mobility and Core Flow,beginner,69.74,Cat-Cow Stretch|World's Greatest Stretch|Side Plank|Bird Dog|Glute Bridge March,Brown rice with mixed vegetables and legumes.,"Focus on form, 3 sessions/week, and progressive consistency."
31.39,670.59,non_veg,nut_allergy|shellfish_allergy,,muscle,73,intermediate,low,101.93,2442.29,9,4113.97,33.91,92.62,2,good,Lean Chicken Veg Plate,Upper Lower Strength Split,beginner,102.73,Barbell Bench Press|Romanian Deadlift|Lat Pulldown|Walking Lunges|Dumbbell Shoulder Press,Shellfish-free lean chicken and vegetable plate.,"Focus on form, 3 sessions/week, and progressive consistency."
21.61,308.1,veg,none,,muscle,44,advanced,low,68.59,2363.05,18,16922.85,24.66,77.78,0,good,Tofu Power Bowl,Push Pull Legs Intense,beginner,68.98,Barbell Back Squat|Bench Press|Bent-Over Row|Overhead Press|Conventional Deadlift,"Balanced tofu bowl with quinoa, greens, and seeds.","Focus on form, 3 sessions/week, and progressive consistency."
19.63,341.18,non_veg,none,,maintenance,32,advanced,high,112.38,1338.61,16,8945.87,34.2,84.16,3,average,Turkey Rice Bowl,Hybrid Endurance Strength,beginner,109.0,Front Squat|Pull-Ups|Farmer Carry|Stationary Bike Intervals|Hanging Knee Raises,Lean turkey with rice and roasted vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
31.56,284.29,veg,shellfish_allergy,,fat_loss,31,beginner,moderate,76.9,1556.66,18,11525.69,31.45,73.58,10,average,Low-Cal Veg Soup,HIIT Starter Circuit,intermediate,75.1,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,Low-calorie vegetable soup for fat-loss support.,Use progressive overload and mix strength with conditioning.
34.29,702.45,non_veg,none,,muscle,36,intermediate,moderate,113.27,2259.31,8,14882.66,17.61,92.77,9,average,Chicken Quinoa Plate,Upper Lower Strength Split,intermediate,112.84,Barbell Bench Press|Romanian Deadlift|Lat Pulldown|Walking Lunges|Dumbbell Shoulder Press,Lean chicken with quinoa and mixed vegetables.,Use progressive overload and mix strength with conditioning.
20.3,898.59,non_veg,nut_allergy,,fat_loss,47,beginner,moderate,107.9,1701.29,2,9157.51,21.51,92.75,6,good,Grilled Fish Salad,HIIT Starter Circuit,intermediate,107.37,High Knees|Bodyweight Squats|Burpees|Plank Shoulder Taps|Alternating Reverse Lunges,Omega-rich fish with fresh vegetables and olive oil.,Use progressive overload and mix strength with conditioning.
46.55,602.73,veg,none,,maintenance,26,intermediate,moderate,61.84,2504.11,7,3189.53,27.47,58.14,12,average,Veggie Brown Rice Plate,Strength and Cardio Mix,advanced,62.13,Dumbbell Squat to Press|Assault Bike|Seated Cable Row|Step-Ups|Russian Twists,Brown rice with mixed vegetables and legumes.,"Periodize training, recover well, and target performance blocks."
27.32,771.8,veg,soy_allergy,,maintenance,82,beginner,moderate,48.5,2992.01,22,7755.86,30.31,48.57,10,average,Veggie Brown Rice Plate,Mobility and Core Flow,intermediate,50.76,Cat-Cow Stretch|World's Greatest Stretch|Side Plank|Bird Dog|Glute Bridge March,Brown rice with mixed vegetables and legumes.,Use progressive overload and mix strength with conditioning.
30.24,705.41,non_veg,nut_allergy|soy_allergy,,maintenance,59,beginner,moderate,115.86,2941.31,24,5996.88,27.47,83.46,10,poor,Turkey Rice Bowl,Mobility and Core Flow,beginner,117.84,Cat-Cow Stretch|World's Greatest Stretch|Side Plank|Bird Dog|Glute Bridge March,Lean turkey with rice and roasted vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
42.32,871.92,non_veg,none,,muscle,33,intermediate,low,48.98,2441.54,15,13437.15,35.92,60.53,10,average,High-Protein Grilled Chicken,Upper Lower Strength Split,beginner,49.65,Barbell Bench Press|Romanian Deadlift|Lat Pulldown|Walking Lunges|Dumbbell Shoulder Press,High-protein grilled chicken with vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
35.18,607.83,non_veg,none,,muscle,20,beginner,low,82.47,2656.85,18,16719.98,29.9,75.96,0,good,Chicken Quinoa Plate,Express Bodyweight Burner,beginner,83.25,Jumping Jacks|Push-Ups|Air Squats|Mountain Climbers|Plank Hold,Lean chicken with quinoa and mixed vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
32.18,330.63,non_veg,none,,maintenance,80,intermediate,high,77.83,2454.83,19,12787.96,22.03,51.19,7,poor,Turkey Rice Bowl,Strength and Cardio Mix,intermediate,76.38,Dumbbell Squat to Press|Assault Bike|Seated Cable Row|Step-Ups|Russian Twists,Lean turkey with rice and roasted vegetables.,Use progressive overload and mix strength with conditioning.
22.46,892.09,veg,none,,fat_loss,28,intermediate,moderate,82.2,1695.98,3,11250.85,32.16,73.81,11,good,Lentil Greens Salad,Metabolic Conditioning,intermediate,82.61,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,High-fiber lentils with leafy greens and lemon dressing.,Use progressive overload and mix strength with conditioning.
52.22,332.39,non_veg,shellfish_allergy,,maintenance,38,advanced,moderate,58.85,2952.96,12,10917.69,29.06,92.94,9,poor,Lean Chicken Veg Plate,Hybrid Endurance Strength,beginner,59.66,Front Squat|Pull-Ups|Farmer Carry|Stationary Bike Intervals|Hanging Knee Raises,Shellfish-free lean chicken and vegetable plate.,"Focus on form, 3 sessions/week, and progressive consistency."
53.4,283.16,non_veg,egg_allergy|soy_allergy,,muscle,57,beginner,moderate,88.82,2657.83,11,16135.22,32.82,73.42,6,average,High-Protein Grilled Chicken,Full Body Strength Basics,beginner,88.77,Goblet Squat|Incline Push-Up|Dumbbell Row|Hip Bridge|Dead Bug,High-protein grilled chicken with vegetables.,"Focus on form, 3 sessions/week, and progressive consistency."
40.05,257.11,non_veg,none,,fat_loss,77,intermediate,low,70.21,2256.27,14,4072.81,23.55,91.37,10,average,Turkey Lettuce Wrap,Metabolic Conditioning,beginner,71.85,Kettlebell Swings|Thrusters|Rowing Intervals|Box Step-Ups|Battle Ropes,Low-calorie turkey wraps with crunchy lettuce.,"Focus on form, 3 sessions/week, and progressive consistency."
14.16,351.14,veg,egg_allergy|shellfish_allergy,,maintenance,81,intermediate,moderate,71.77,2743.17,11,4114.8,28.82,68.51,8,poor,Chickpea Spinach Stir Fry,Strength and Cardio Mix,beginner,72.09,Dumbbell Squat to Press|Assault Bike|Seated Cable Row|Step-Ups|Russian Twists,Plant-protein chickpeas with sauteed spinach.,"Focus on form, 3 sessions/week, and progressive consistency."
